symbol	file	underlying_records	underlying_timestamps	option_records	option_timestamps	joinable_timestamps	join_ratio	status
GLD	GLD.2023-06-05.sqlite	1018	1018	155891	388	387	0.3802	CRITICAL
GLD	GLD.2023-06-09.sqlite	779	779	120395	390	388	0.4981	CRITICAL
GLD	GLD.2023-06-07.sqlite	780	780	146200	390	389	0.4987	CRITICAL
GLD	GLD.2023-06-08.sqlite	779	779	134488	390	388	0.4981	CRITICAL
GLD	GLD.2023-06-06.sqlite	1019	1019	153552	390	388	0.3808	CRITICAL
SPX	SPX.2023-06-08.sqlite	780	780	243218	390	389	0.4987	CRITICAL
SPX	SPX.2023-06-05.sqlite	1411	1411	300403	630	629	0.4458	CRITICAL
SPX	SPX.2023-06-06.sqlite	1411	1411	300765	630	629	0.4458	CRITICAL
SPX	SPX.2023-06-09.sqlite	780	780	240685	390	389	0.4987	CRITICAL
SPX	SPX.2023-06-07.sqlite	780	780	243953	390	389	0.4987	CRITICAL
SPY	SPY.2023-06-09.sqlite	390	390	0	0	0	0.0000	CRITICAL
SPY	SPY.2023-06-08.sqlite	390	390	0	0	0	0.0000	CRITICAL
SPY	SPY.2023-06-07.sqlite	390	390	0	0	0	0.0000	CRITICAL
SPY	SPY.2023-06-06.sqlite	630	630	0	0	0	0.0000	CRITICAL
SPY	SPY.2023-06-05.sqlite	630	630	0	0	0	0.0000	CRITICAL
USO	USO.2023-06-09.sqlite	778	778	67073	390	387	0.4974	CRITICAL
USO	USO.2023-06-07.sqlite	779	779	86478	390	388	0.4981	CRITICAL
USO	USO.2023-06-08.sqlite	776	776	77606	390	385	0.4961	CRITICAL
USO	USO.2023-06-06.sqlite	777	777	87976	390	386	0.4968	CRITICAL
USO	USO.2023-06-05.sqlite	774	774	88881	388	384	0.4961	CRITICAL
XSP	XSP.2023-06-09.sqlite	0	0	0	0	0	0.0000	CRITICAL
XSP	XSP.2023-06-08.sqlite	0	0	0	0	0	0.0000	CRITICAL
XSP	XSP.2023-06-07.sqlite	0	0	0	0	0	0.0000	CRITICAL
XSP	XSP.2023-06-06.sqlite	0	0	0	0	0	0.0000	CRITICAL
XSP	XSP.2023-06-05.sqlite	0	0	0	0	0	0.0000	CRITICAL
