symbol	min_ts	max_ts	rows_underlying	rows_options
GLD	1685957400000	3371936400000	1018	155891
GLD	1686317400000	3372627600000	779	120395
GLD	1686144600000	3372282000000	780	146200
GLD	1686231000000	3372454800000	779	134488
GLD	1686043800000	3372109200000	1019	153552
SPX	1686231000000	3372454800000	780	243218
SPX	1686043800000	3372109200000	1411	300765
SPX	1686317400000	3372627600000	780	240685
SPX	1686144600000	3372282000000	780	243953
SPX	1685957400000	3371936400000	1411	300403
SPY	1686317400000	1686340740000	390	0
SPY	1686231000000	1686254340000	390	0
SPY	1686144600000	1686167940000	390	0
SPY	1686043800000	1686081540000	630	0
SPY	1685957400000	1685995140000	630	0
USO	1686317400000	3372627600000	778	67073
USO	1686231000000	3372454800000	776	77606
USO	1686058200000	3372109200000	777	87976
USO	1685971800000	3371936400000	774	88881
USO	1686144600000	3372282000000	779	86478
XSP	-1	-1	0	0
XSP	-1	-1	0	0
XSP	-1	-1	0	0
XSP	-1	-1	0	0
XSP	-1	-1	0	0
